,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_decoy_2800_3.pdb,2.617326498031616,2.500746965408325,0.490018367767334,0.3864281177520752,0.13895821571350098,1.1604652404785156,3.1054458618164062,0.45450377464294434,2.22794508934021,2.22794508934021,2.22794508934021,2.22794508934021,2.22794508934021,141.8604040145874,412.3416647911072,412.3416647911072,412.3416647911072,0.5394148826599121,3.6217944622039795,4.1505444049835205,6.162818431854248,16.86347484588623,653.0263319015503,77.3282265663147,332.39880180358887,2.0608513355255127
normalized_decoy_2800_0.pdb,2.6394729614257812,2.503753185272217,0.7868447303771973,0.4310336112976074,0.14684677124023438,1.294604778289795,3.2878780364990234,20.03524088859558,2.204357624053955,2.204357624053955,2.204357624053955,2.204357624053955,2.204357624053955,145.16226434707642,405.8593361377716,405.8593361377716,405.8593361377716,0.30316901206970215,3.7537217140197754,4.16122031211853,6.1742424964904785,17.270816564559937,589.2541317939758,77.52373385429382,332.6474964618683,2.0496416091918945
normalized_decoy_2800_2.pdb,2.6120717525482178,2.6230571269989014,0.7886185646057129,0.42051148414611816,0.14344167709350586,1.2790439128875732,3.2993173599243164,20.271134853363037,2.2175540924072266,2.2175540924072266,2.2175540924072266,2.2175540924072266,2.2175540924072266,143.79510831832886,412.48482871055603,412.48482871055603,412.48482871055603,0.3008432388305664,3.7856016159057617,4.089209079742432,6.168618202209473,17.171682834625244,607.4173181056976,77.27398705482483,332.1959435939789,2.055680513381958
normalized_decoy_2800_4.pdb,2.6392476558685303,2.502169132232666,0.7839231491088867,0.4211757183074951,0.1434941291809082,1.2691044807434082,3.294400215148926,21.827398777008057,2.3083488941192627,2.3083488941192627,2.3083488941192627,2.3083488941192627,2.3083488941192627,143.23405933380127,405.70119190216064,405.70119190216064,405.70119190216064,0.30299854278564453,3.724851369857788,4.080388784408569,6.183323860168457,17.1692795753479,707.42187333107,77.42105984687805,327.50768995285034,2.0618674755096436
normalized_decoy_2800_1.pdb,2.5041024684906006,2.7032551765441895,0.7872090339660645,0.422344446182251,0.14365315437316895,1.273761510848999,3.3064165115356445,21.91044282913208,2.1782095432281494,2.1782095432281494,2.1782095432281494,2.1782095432281494,2.1782095432281494,142.99538040161133,405.73665952682495,405.73665952682495,405.73665952682495,0.30350327491760254,3.74863862991333,4.113905191421509,6.157194137573242,17.02164125442505,638.7139751911163,77.90639758110046,331.6574237346649,2.0788512229919434
