,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_decoy_50_0.pdb,0.04286360740661621,0.04230332374572754,6.604194641113281e-05,8.106231689453125e-06,1.2159347534179688e-05,0.0002033710479736328,0.041853904724121094,0.26183557510375977,0.001861572265625,0.001861572265625,0.001861572265625,0.001861572265625,0.001861572265625,1.9826381206512451,0.18216896057128906,0.18216896057128906,0.18216896057128906,0.004285573959350586,0.05337786674499512,0.07435798645019531,0.0511934757232666,0.11198091506958008,0.5021612644195557,0.491865873336792,0.259596586227417,0.2490847110748291
normalized_decoy_50_4.pdb,0.042264461517333984,0.04201483726501465,9.250640869140625e-05,1.811981201171875e-05,1.2159347534179688e-05,0.00022029876708984375,0.04172539710998535,0.7277853488922119,0.0011398792266845703,0.0011398792266845703,0.0011398792266845703,0.0011398792266845703,0.0011398792266845703,1.9829342365264893,0.17499017715454102,0.17499017715454102,0.17499017715454102,0.0032629966735839844,0.050055742263793945,0.07045197486877441,0.05096244812011719,0.12215876579284668,0.40871500968933105,0.45566368103027344,0.2599177360534668,0.25801753997802734
normalized_decoy_50_1.pdb,0.06476354598999023,0.041786909103393555,0.00011801719665527344,2.6464462280273438e-05,1.6450881958007812e-05,0.0003426074981689453,0.04146170616149902,0.7802886962890625,0.0010273456573486328,0.0010273456573486328,0.0010273456573486328,0.0010273456573486328,0.0010273456573486328,1.9852726459503174,0.17622089385986328,0.17622089385986328,0.17622089385986328,0.0033369064331054688,0.050145626068115234,0.07059550285339355,0.05118274688720703,0.12470769882202148,0.42481231689453125,0.43894529342651367,0.2597696781158447,0.2570924758911133
normalized_decoy_50_3.pdb,0.04187273979187012,0.041507720947265625,0.0001068115234375,1.6450881958007812e-05,4.1484832763671875e-05,0.0002448558807373047,0.041898488998413086,0.7293457984924316,0.0009245872497558594,0.0009245872497558594,0.0009245872497558594,0.0009245872497558594,0.0009245872497558594,2.01772141456604,0.17562222480773926,0.17562222480773926,0.17562222480773926,0.003445863723754883,0.050022125244140625,0.07005190849304199,0.050847530364990234,0.14629292488098145,0.43755483627319336,0.4379456043243408,0.26952528953552246,0.25582170486450195
normalized_decoy_50_2.pdb,0.04195237159729004,0.041298866271972656,8.797645568847656e-05,2.0265579223632812e-05,8.344650268554688e-06,0.00020122528076171875,0.041899919509887695,0.7572112083435059,0.0009045600891113281,0.0009045600891113281,0.0009045600891113281,0.0009045600891113281,0.0009045600891113281,1.9755396842956543,0.17522144317626953,0.17522144317626953,0.17522144317626953,0.003256559371948242,0.050200462341308594,0.06970667839050293,0.05077934265136719,0.11700677871704102,0.4447166919708252,0.45757412910461426,0.2740285396575928,0.2568511962890625
