,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_decoy_450_2.pdb,0.40546631813049316,0.3962404727935791,0.010832071304321289,0.007027626037597656,0.0027256011962890625,0.027817964553833008,0.38098597526550293,0.3130791187286377,0.06424331665039062,0.06424331665039062,0.06424331665039062,0.06424331665039062,0.06424331665039062,19.70578694343567,10.723812818527222,10.723812818527222,10.723812818527222,0.07707571983337402,0.5180974006652832,0.538485050201416,0.5850181579589844,1.323937177658081,15.893764019012451,3.677074670791626,0.7756338119506836,0.4649064540863037
normalized_decoy_450_0.pdb,0.4078483581542969,0.39964914321899414,0.01545572280883789,0.007733821868896484,0.0026144981384277344,0.02930474281311035,0.38971996307373047,1.9226129055023193,0.0034677982330322266,0.0034677982330322266,0.0034677982330322266,0.0034677982330322266,0.0034677982330322266,20.010852336883545,10.846102476119995,10.846102476119995,10.846102476119995,0.03174567222595215,0.5238971710205078,0.537670373916626,0.5746457576751709,1.4557580947875977,16.691691398620605,3.578996181488037,0.7606556415557861,0.44871950149536133
normalized_decoy_450_3.pdb,0.3745262622833252,0.3998863697052002,0.01618790626525879,0.008218526840209961,0.002766132354736328,0.030174732208251953,0.3874027729034424,1.9639384746551514,0.003298044204711914,0.003298044204711914,0.003298044204711914,0.003298044204711914,0.003298044204711914,19.97692060470581,10.85642957687378,10.85642957687378,10.85642957687378,0.04892086982727051,0.5397253036499023,0.5457737445831299,0.5810930728912354,1.3707005977630615,15.112730503082275,3.6146013736724854,0.7616467475891113,0.45000338554382324
normalized_decoy_450_1.pdb,0.37717175483703613,0.4039041996002197,0.015768766403198242,0.006960391998291016,0.0028963088989257812,0.02994823455810547,0.3868701457977295,1.9583802223205566,0.04140424728393555,0.04140424728393555,0.04140424728393555,0.04140424728393555,0.04140424728393555,19.739019870758057,10.917973756790161,10.917973756790161,10.917973756790161,0.03152918815612793,0.5203802585601807,0.5495216846466064,0.5842752456665039,1.212414264678955,17.714665412902832,3.6045124530792236,0.7303533554077148,0.45887327194213867
normalized_decoy_450_4.pdb,0.3995015621185303,0.42355895042419434,0.0156252384185791,0.00803065299987793,0.0023632049560546875,0.029896974563598633,0.3904538154602051,1.8632526397705078,0.0033571720123291016,0.0033571720123291016,0.0033571720123291016,0.0033571720123291016,0.0033571720123291016,19.96858525276184,10.860718250274658,10.860718250274658,10.860718250274658,0.04778790473937988,0.5174858570098877,0.5510940551757812,0.5834414958953857,1.6084308624267578,16.75682759284973,3.6126506328582764,0.796196460723877,0.46457982063293457
