,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_decoy_1050_1.pdb,0.9272112846374512,0.9205539226531982,0.06008148193359375,0.043042659759521484,0.016134023666381836,0.15028691291809082,0.9744682312011719,0.35970520973205566,0.31384992599487305,0.31384992599487305,0.31384992599487305,0.31384992599487305,0.31384992599487305,49.36314034461975,57.54679203033447,57.54679203033447,57.54679203033447,0.16376614570617676,1.2661993503570557,1.3311069011688232,1.5642585754394531,4.094854831695557,85.45026564598083,13.590893983840942,7.6641526222229,0.817845344543457
normalized_decoy_1050_4.pdb,0.9200127124786377,0.9643990993499756,0.09696841239929199,0.048026323318481445,0.015509843826293945,0.16451787948608398,1.0175693035125732,4.656627416610718,0.12287425994873047,0.12287425994873047,0.12287425994873047,0.12287425994873047,0.12287425994873047,49.492281675338745,58.415955543518066,58.415955543518066,58.415955543518066,0.1154484748840332,1.2745788097381592,1.3417556285858154,1.5584042072296143,4.029858350753784,93.78936123847961,13.418246269226074,7.320612907409668,0.7829067707061768
normalized_decoy_1050_2.pdb,0.9268269538879395,0.9641413688659668,0.09478473663330078,0.049996137619018555,0.014664649963378906,0.1654369831085205,1.0048434734344482,4.627410650253296,0.007057905197143555,0.007057905197143555,0.007057905197143555,0.007057905197143555,0.007057905197143555,49.58146929740906,58.32781267166138,58.32781267166138,58.32781267166138,0.09741997718811035,1.2821016311645508,1.359893798828125,1.5790750980377197,4.004962682723999,81.75462865829468,13.286520957946777,8.29025650024414,0.7918248176574707
normalized_decoy_1050_0.pdb,0.9279415607452393,0.9647030830383301,0.09314799308776855,0.0477442741394043,0.014729738235473633,0.160797119140625,1.0077869892120361,4.869004011154175,0.007044553756713867,0.007044553756713867,0.007044553756713867,0.007044553756713867,0.007044553756713867,49.017351388931274,58.07501792907715,58.07501792907715,58.07501792907715,0.09557628631591797,1.2935359477996826,1.319960594177246,1.5767240524291992,4.2823309898376465,84.22209405899048,13.41280198097229,8.122811317443848,0.8071565628051758
normalized_decoy_1050_3.pdb,0.9218552112579346,0.9641449451446533,0.09912848472595215,0.049367666244506836,0.017785310745239258,0.16829919815063477,1.0178518295288086,4.561253309249878,0.32724881172180176,0.32724881172180176,0.32724881172180176,0.32724881172180176,0.32724881172180176,49.01148295402527,58.52284073829651,58.52284073829651,58.52284073829651,0.09474945068359375,1.299363613128662,1.3277525901794434,1.5906524658203125,4.335089921951294,81.76827645301819,13.58794641494751,7.6480712890625,0.7882823944091797
