,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_decoy_2400_2.pdb,2.2146189212799072,2.192592144012451,0.35627222061157227,0.28674960136413574,0.0967562198638916,0.8636314868927002,2.590498208999634,0.4364047050476074,1.62894606590271,1.62894606590271,1.62894606590271,1.62894606590271,1.62894606590271,123.99731111526489,303.61011958122253,303.61011958122253,303.61011958122253,0.44563889503479004,3.0364320278167725,3.364441394805908,4.767606735229492,13.581157684326172,443.82481813430786,58.53556180000305,179.58785104751587,1.7604711055755615
normalized_decoy_2400_1.pdb,2.2684497833251953,2.268381118774414,0.5661656856536865,0.30431461334228516,0.10055828094482422,0.9247469902038574,2.8455653190612793,15.535249471664429,1.3627352714538574,1.3627352714538574,1.3627352714538574,1.3627352714538574,1.3627352714538574,123.52710700035095,303.32226634025574,303.32226634025574,303.32226634025574,0.27933764457702637,3.052428960800171,3.334277868270874,4.7838451862335205,13.517860412597656,480.6525707244873,57.898669481277466,179.01234102249146,1.7397258281707764
normalized_decoy_2400_0.pdb,2.2765512466430664,2.1608684062957764,0.5644018650054932,0.31498026847839355,0.10369539260864258,0.9527754783630371,2.732041120529175,16.502406120300293,1.3425979614257812,1.3425979614257812,1.3425979614257812,1.3425979614257812,1.3425979614257812,124.00340414047241,303.507155418396,303.507155418396,303.507155418396,0.2485191822052002,3.087249279022217,3.3232169151306152,4.719422101974487,13.463040351867676,440.3871250152588,58.4831178188324,179.32223558425903,1.7527086734771729
normalized_decoy_2400_4.pdb,2.1713900566101074,2.2593138217926025,0.5539798736572266,0.3023231029510498,0.0980081558227539,0.9191262722015381,2.8190298080444336,16.989680767059326,1.3739581108093262,1.3739581108093262,1.3739581108093262,1.3739581108093262,1.3739581108093262,124.85807919502258,302.8359127044678,302.8359127044678,302.8359127044678,0.26646971702575684,3.075140953063965,3.3628361225128174,4.812540292739868,13.836956977844238,483.0949296951294,58.02964210510254,179.94218182563782,1.7331957817077637
normalized_decoy_2400_3.pdb,2.2655584812164307,2.1665573120117188,0.557774543762207,0.30616235733032227,0.09966731071472168,0.9247605800628662,2.740626096725464,16.970184326171875,1.4448447227478027,1.4448447227478027,1.4448447227478027,1.4448447227478027,1.4448447227478027,125.0478937625885,302.71599650382996,302.71599650382996,302.71599650382996,0.23519086837768555,3.067505359649658,3.386287212371826,4.743722677230835,13.880702257156372,469.14419627189636,57.93745160102844,179.38768792152405,1.745939016342163
