,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_decoy_2100_4.pdb,1.9622199535369873,1.9650142192840576,0.26103639602661133,0.21995806694030762,0.06769943237304688,0.6535148620605469,2.215169906616211,0.4169330596923828,1.2440345287322998,1.2440345287322998,1.2440345287322998,1.2440345287322998,1.2440345287322998,106.35910224914551,232.37611150741577,232.37611150741577,232.37611150741577,0.386246919631958,2.592630386352539,2.860229015350342,3.983628034591675,11.503739356994629,334.8539638519287,45.216567277908325,106.93164014816284,1.4991257190704346
normalized_decoy_2100_0.pdb,2.047988176345825,1.9787261486053467,0.4159383773803711,0.23970961570739746,0.07218337059020996,0.718743085861206,2.393887758255005,13.977804183959961,1.1637611389160156,1.1637611389160156,1.1637611389160156,1.1637611389160156,1.1637611389160156,107.35432124137878,231.79580068588257,231.79580068588257,231.79580068588257,0.20854568481445312,2.6674745082855225,2.8906962871551514,3.9378573894500732,11.378015995025635,342.928827047348,45.545177936553955,106.91791677474976,1.4995806217193604
normalized_decoy_2100_3.pdb,1.9846107959747314,1.9687387943267822,0.4174680709838867,0.24305391311645508,0.07164311408996582,0.7222211360931396,2.383262872695923,13.687188863754272,1.2093915939331055,1.2093915939331055,1.2093915939331055,1.2093915939331055,1.2093915939331055,107.16135382652283,231.90815377235413,231.90815377235413,231.90815377235413,0.20241665840148926,2.676171064376831,2.8818092346191406,3.945852756500244,11.429604053497314,326.3802545070648,45.894686460494995,106.93822956085205,1.4983010292053223
normalized_decoy_2100_1.pdb,1.966848611831665,1.990576982498169,0.4094071388244629,0.23508691787719727,0.07502293586730957,0.7230532169342041,2.296736240386963,13.823631763458252,0.737485408782959,0.737485408782959,0.737485408782959,0.737485408782959,0.737485408782959,105.46216583251953,232.2505178451538,232.2505178451538,232.2505178451538,0.22482991218566895,2.654519557952881,2.8618385791778564,3.910269260406494,11.057594776153564,359.8934979438782,44.70345211029053,106.16756391525269,1.5082290172576904
normalized_decoy_2100_2.pdb,1.9804723262786865,1.9805238246917725,0.4085104465484619,0.23783302307128906,0.0737619400024414,0.7190032005310059,2.3036444187164307,13.390159845352173,0.8781812191009521,0.8781812191009521,0.8781812191009521,0.8781812191009521,0.8781812191009521,104.00128436088562,233.02335596084595,233.02335596084595,233.02335596084595,0.20607829093933105,2.6649489402770996,2.8771798610687256,3.9355826377868652,10.606770515441895,381.1966850757599,45.320382595062256,106.1593406200409,1.502830982208252
